object,object_base,table,address,registers,offset,parameter,access,data_type,fw_3_2,fw_3_3,fw_3_4,description
Room 1,100,HR,121,1,21,Standby temperature,R/W,val_d2_fp100,YES,YES,YES,"Room temperature setpoint used when the system is in Standby mode. Writing invalid value (327,67) stops room heating/cooling demand only when Standby is active."
Room 1,100,HR,122,1,22,Vacation temperature,R/W,val_d2_fp100,YES,YES,YES,"Room temperature setpoint used when the system is in Vacation mode Writing invalid value (327,67) stops room heating/cooling demand only when Vacation is active."
Room 1,100,HR,123,1,23,Exclude from vacation,R/W,val_u1,YES,YES,YES,Do not allow the Vacation mode in this room
Room 1,100,HR,124,1,24,Adaptive mode,R/W,val_u1,YES,YES,YES,Allow adaptive mode
Room 1,100,HR,125,1,25,Thermal integration heating offset,R/W,val_d2_fp100,YES,YES,YES,Thermal integration heating offset
Room 1,100,HR,126,1,26,Thermal integration hysteresis,R/W,val_d2_fp100,YES,YES,YES,Thermal integration hysteresis
Room 1,100,HR,127,1,27,Humidity threshold heating,R/W,val_d2_fp100,YES,YES,YES,Humidity threshold heating
Room 1,100,HR,128,1,28,Humidity threshold cooling,R/W,val_d2_fp100,YES,YES,YES,Humidity threshold cooling
Room 1,100,HR,129,1,29,Humidity hysteresis,R/W,val_d2_fp100,YES,YES,YES,Humidity hysteresis
Room 1,100,HR,130,1,30,Drying - cooling water offset,R/W,val_d2_fp100,YES,YES,YES,Drying - cooling water offset
Room 1,100,HR,131,1,31,Drying - cooling water offset hysteresis,R/W,val_d2_fp100,YES,YES,YES,Drying - cooling water offset hysteresis
Room 1,100,HR,132,1,32,Dew point cooling threshold,R/W,val_d2_fp100,YES,YES,YES,Dew point threshold temp when cooling
Room 1,100,HR,133,1,33,Dew point cooling threshold hysteresis,R/W,val_d2_fp100,YES,YES,YES,Dew point threshold temp hysteresis when cooling
Room 1,100,HR,134,1,34,Humidity high alarm limit,R/W,val_d2_fp100,YES,YES,YES,Humidity high alarm limit
Room 1,100,HR,135,1,35,Room temperature preset,R/W,val_u1,YES,YES,YES,0 - ECO 1 - COMFORT 2 - EXTRA COMFORT Temperature preset requested by user. This value is not used when - Room mode = SCHEDULE (Scheduler temperature is used) - Location.Vacation = ON (Vacation temperature is used) - Location.Standby = ON (Standby temperature is used) - Temporary mode is activated (User defined temperature is used)
Outdoor 1,3300,DI,3301,1,1,Aggregated warning,R,,YES,YES,YES,A problem is pending in Outdoor zone
Outdoor 1,3300,DI,3302,1,2,Aggregated error,R,,YES,YES,YES,A critical problem is pending in Outdoor zone
Outdoor 1,3300,DI,3303,1,3,Warning - low battery,R,,YES,YES,YES,There are one or more peripherals in the Outdoor zone with low battery.
Outdoor 1,3300,DI,3304,1,4,Error - peripheral lost,R,,YES,YES,YES,There are one or more peripherals in the Outdoor zone which are not responding.
Outdoor 1,3300,IR,3301,1,1,Air Temp,R,val_d2_fp100,YES,YES,YES,"Used in H/C mode switching, H/C blocking"
Outdoor 1,3300,IR,3302,1,2,Air Temp Filtered,R,val_d2_fp100,YES,YES,YES,"Used in heat curve calculations, frost protection"
Outdoor 1,3300,IR,3303,1,3,Air Temp Geometrical,R,val_d2_fp100,YES,YES,YES,Not yet used
Outdoor 1,3300,HR,3301,16,1,Name,R,val_utf8,YES,YES,YES,"String description (32 Bytes, UTF8, NULL terminated)"
Outdoor 1,3300,HR,3317,1,17,Air Temp BMS Override,R/W,val_d2_fp100,YES,YES,YES,"Overrides Air Temp value (register 03301). Invalid value (327,67) means override is disabled."
DHW 201,6500,DI,6501,1,1,Aggregated warning,R,,YES,YES,YES,A problem is pending in DHW
DHW 201,6500,DI,6502,1,2,Aggregated error,R,,YES,YES,YES,A critical problem is pending in DHW
DHW 201,6500,DI,6503,1,3,Warning - Retentive Low Energy,R,,YES,YES,YES,
DHW 201,6500,DI,6504,1,4,Error - DHW temp high,R,,YES,YES,YES,
DHW 201,6500,DI,6505,1,5,Error - Motor failure,R,,YES,YES,YES,
DHW 201,6500,DI,6506,1,6,Error - DHI sensor failure (source inlet),R,,YES,YES,YES,
DHW 201,6500,DI,6507,1,7,Error - DHO sensor failure (source return),R,,YES,YES,YES,
DHW 201,6500,DI,6508,1,8,Error - DHW sensor failure,R,,YES,YES,YES,
DHW 201,6500,DI,6509,1,9,Error - DCW sensor failure,R,,YES,YES,YES,
DHW 201,6500,DI,6510,1,10,Warning - Pressure high,R,,YES,YES,YES,
DHW 201,6500,DI,6511,1,11,Warning - Pressure low,R,,YES,YES,YES,
DHW 201,6500,DI,6512,1,12,Error - Pressure critical low,R,,YES,YES,YES,
DHW 201,6500,DI,6513,1,13,Error - flow sensor failure,R,,YES,YES,YES,
DHW 201,6500,IR,6501,1,1,Desired DHW temp,R,val_d2_fp100,YES,YES,YES,Shows the desired temperature of the domestic hot water.
DHW 201,6500,IR,6502,1,2,State,R,val_u1,YES,YES,YES,"1 IDLE 2 HEATING (hot water is consumed by user) 3 BYPASS (keeping heat exchanger hot for circulation) 4 BLOCKED_HEATING 5 BLOCKED_BYPASS Shows, whether the system wants to heat or to have bypass activated."
